from_provider_id,referrals_sent,referral_completed_rate,provider_id,provider_name,specialty,org_id
PRV0024,129,0.751937984496124,PRV0024,Dr. YU,Pediatrics,ORG030
PRV0025,106,0.7547169811320755,PRV0025,Dr. ZX,Pediatrics,ORG021
PRV0026,115,0.7217391304347827,PRV0026,Dr. AA,Family Medicine,ORG021
PRV0027,138,0.8188405797101449,PRV0027,Dr. BD,Pediatrics,ORG007
PRV0028,134,0.7686567164179104,PRV0028,Dr. CG,Pediatrics,ORG025
PRV0029,141,0.7446808510638298,PRV0029,Dr. DJ,Emergency Medicine,ORG025
PRV0030,138,0.7681159420289855,PRV0030,Dr. EM,Pediatrics,ORG030
PRV0031,142,0.7464788732394366,PRV0031,Dr. FP,Family Medicine,ORG011
PRV0032,128,0.7734375,PRV0032,Dr. GS,Emergency Medicine,ORG004
PRV0033,119,0.7647058823529411,PRV0033,Dr. HV,Pulmonology,ORG029
PRV0034,143,0.7342657342657343,PRV0034,Dr. IY,Family Medicine,ORG026
PRV0035,111,0.7567567567567568,PRV0035,Dr. JB,Pediatrics,ORG002
PRV0036,113,0.7345132743362832,PRV0036,Dr. KE,Pulmonology,ORG019
PRV0037,131,0.7709923664122137,PRV0037,Dr. LH,Cardiology,ORG003
PRV0038,132,0.7272727272727273,PRV0038,Dr. MK,Pediatrics,ORG027
PRV0039,137,0.6934306569343066,PRV0039,Dr. NN,Family Medicine,ORG025
PRV0040,131,0.816793893129771,PRV0040,Dr. OQ,Pediatrics,ORG005
PRV0041,143,0.7272727272727273,PRV0041,Dr. PT,Pulmonology,ORG016
PRV0042,134,0.7761194029850746,PRV0042,Dr. QW,Pediatrics,ORG006
PRV0043,120,0.7,PRV0043,Dr. RZ,Pediatric Cardiology,ORG028
PRV0044,145,0.7862068965517242,PRV0044,Dr. SC,Emergency Medicine,ORG007
PRV0045,130,0.7461538461538462,PRV0045,Dr. TF,Cardiology,ORG025
PRV0046,124,0.717741935483871,PRV0046,Dr. UI,Pediatric Cardiology,ORG007
PRV0047,112,0.7589285714285714,PRV0047,Dr. VL,Pulmonology,ORG013
PRV0048,117,0.7692307692307693,PRV0048,Dr. WO,Family Medicine,ORG021
PRV0049,126,0.753968253968254,PRV0049,Dr. XR,Family Medicine,ORG029
PRV0050,126,0.7301587301587301,PRV0050,Dr. YU,Pediatrics,ORG004
PRV0051,131,0.7480916030534351,PRV0051,Dr. ZX,Family Medicine,ORG003
PRV0052,118,0.7542372881355932,PRV0052,Dr. AA,Family Medicine,ORG019
PRV0053,125,0.8,PRV0053,Dr. BD,Pediatrics,ORG019
PRV0054,119,0.7899159663865546,PRV0054,Dr. CG,Pediatric Cardiology,ORG003
PRV0055,136,0.7058823529411765,PRV0055,Dr. DJ,Pediatrics,ORG002
PRV0056,133,0.7593984962406015,PRV0056,Dr. EM,Pediatrics,ORG029
PRV0057,116,0.7413793103448276,PRV0057,Dr. FP,Pediatrics,ORG011
PRV0058,158,0.7215189873417721,PRV0058,Dr. GS,Pediatrics,ORG008
PRV0059,137,0.7737226277372263,PRV0059,Dr. HV,Pediatrics,ORG016
PRV0060,130,0.7230769230769231,PRV0060,Dr. IY,Cardiology,ORG005
PRV0061,132,0.7045454545454546,PRV0061,Dr. JB,Family Medicine,ORG029
PRV0062,115,0.7913043478260869,PRV0062,Dr. KE,Pediatrics,ORG016
PRV0063,127,0.7874015748031497,PRV0063,Dr. LH,Cardiology,ORG016
PRV0064,138,0.7318840579710145,PRV0064,Dr. MK,Pediatrics,ORG007
PRV0065,140,0.7071428571428572,PRV0065,Dr. NN,Family Medicine,ORG022
PRV0066,138,0.7101449275362319,PRV0066,Dr. OQ,Family Medicine,ORG014
PRV0067,149,0.7718120805369127,PRV0067,Dr. PT,Cardiology,ORG028
PRV0068,133,0.7443609022556391,PRV0068,Dr. QW,Pediatric Cardiology,ORG022
PRV0069,129,0.7209302325581395,PRV0069,Dr. RZ,Pediatrics,ORG021
PRV0070,116,0.7586206896551724,PRV0070,Dr. SC,Cardiology,ORG013
PRV0071,148,0.7702702702702703,PRV0071,Dr. TF,Emergency Medicine,ORG026
PRV0072,137,0.7299270072992701,PRV0072,Dr. UI,Pediatrics,ORG008
PRV0073,135,0.7555555555555555,PRV0073,Dr. VL,Family Medicine,ORG018
PRV0074,129,0.7674418604651163,PRV0074,Dr. WO,Pediatrics,ORG014
PRV0075,115,0.7913043478260869,PRV0075,Dr. XR,Pediatrics,ORG015
PRV0076,132,0.7878787878787878,PRV0076,Dr. YU,Pediatrics,ORG030
PRV0077,118,0.8135593220338984,PRV0077,Dr. ZX,Emergency Medicine,ORG026
PRV0078,134,0.7910447761194029,PRV0078,Dr. AA,Pediatrics,ORG018
PRV0079,140,0.7857142857142857,PRV0079,Dr. BD,Pulmonology,ORG021
PRV0080,146,0.7123287671232876,PRV0080,Dr. CG,Pediatrics,ORG027
PRV0081,142,0.7183098591549296,PRV0081,Dr. DJ,Emergency Medicine,ORG003
PRV0082,123,0.7723577235772358,PRV0082,Dr. EM,Pediatrics,ORG028
PRV0083,145,0.7379310344827587,PRV0083,Dr. FP,Family Medicine,ORG014
PRV0084,154,0.7467532467532467,PRV0084,Dr. GS,Emergency Medicine,ORG007
PRV0085,137,0.7372262773722628,PRV0085,Dr. HV,Pediatrics,ORG029
PRV0086,134,0.7238805970149254,PRV0086,Dr. IY,Pediatrics,ORG013
PRV0087,122,0.7295081967213115,PRV0087,Dr. JB,Pediatrics,ORG013
PRV0088,130,0.7615384615384615,PRV0088,Dr. KE,Cardiology,ORG026
PRV0089,157,0.8152866242038217,PRV0089,Dr. LH,Family Medicine,ORG010
PRV0090,122,0.7786885245901639,PRV0090,Dr. MK,Pulmonology,ORG024
PRV0091,131,0.7175572519083969,PRV0091,Dr. NN,Pediatric Cardiology,ORG018
PRV0092,121,0.7272727272727273,PRV0092,Dr. OQ,Pediatrics,ORG016
PRV0093,125,0.76,PRV0093,Dr. PT,Pediatrics,ORG010
PRV0094,128,0.7421875,PRV0094,Dr. QW,Family Medicine,ORG002
PRV0095,154,0.6948051948051948,PRV0095,Dr. RZ,Pediatrics,ORG018
PRV0096,120,0.7583333333333333,PRV0096,Dr. SC,Pediatrics,ORG011
PRV0097,156,0.7435897435897436,PRV0097,Dr. TF,Family Medicine,ORG019
PRV0098,127,0.7244094488188977,PRV0098,Dr. UI,Emergency Medicine,ORG030
PRV0099,161,0.8012422360248447,PRV0099,Dr. VL,Pediatrics,ORG006
PRV0100,136,0.7647058823529411,PRV0100,Dr. WO,Pediatrics,ORG017
PRV0101,123,0.7642276422764228,PRV0101,Dr. XR,Pediatrics,ORG006
PRV0102,138,0.7246376811594203,PRV0102,Dr. YU,Pediatric Cardiology,ORG003
PRV0103,129,0.7209302325581395,PRV0103,Dr. ZX,Family Medicine,ORG008
PRV0104,135,0.7407407407407407,PRV0104,Dr. AA,Family Medicine,ORG029
PRV0105,152,0.7368421052631579,PRV0105,Dr. BD,Family Medicine,ORG019
PRV0106,125,0.728,PRV0106,Dr. CG,Pediatrics,ORG020
PRV0107,116,0.7672413793103449,PRV0107,Dr. DJ,Family Medicine,ORG022
PRV0108,132,0.75,PRV0108,Dr. EM,Family Medicine,ORG017
PRV0109,140,0.75,PRV0109,Dr. FP,Pediatrics,ORG009
PRV0110,132,0.6893939393939394,PRV0110,Dr. GS,Family Medicine,ORG023
PRV0111,151,0.8079470198675497,PRV0111,Dr. HV,Family Medicine,ORG009
PRV0112,145,0.7379310344827587,PRV0112,Dr. IY,Pediatric Cardiology,ORG022
PRV0113,121,0.7520661157024794,PRV0113,Dr. JB,Family Medicine,ORG015
PRV0114,138,0.7681159420289855,PRV0114,Dr. KE,Emergency Medicine,ORG025
PRV0115,136,0.7352941176470589,PRV0115,Dr. LH,Family Medicine,ORG001
PRV0116,151,0.8013245033112583,PRV0116,Dr. MK,Pulmonology,ORG019
PRV0117,145,0.7448275862068966,PRV0117,Dr. NN,Family Medicine,ORG003
PRV0118,115,0.6956521739130435,PRV0118,Dr. OQ,Pediatrics,ORG017
PRV0119,142,0.7394366197183099,PRV0119,Dr. PT,Family Medicine,ORG030
PRV0120,135,0.7333333333333333,PRV0120,Dr. QW,Emergency Medicine,ORG003
PRV0121,137,0.781021897810219,PRV0121,Dr. RZ,Pediatrics,ORG012
PRV0122,142,0.7605633802816901,PRV0122,Dr. SC,Emergency Medicine,ORG015
PRV0123,128,0.75,PRV0123,Dr. TF,Family Medicine,ORG023
PRV0124,126,0.7380952380952381,PRV0124,Dr. UI,Pediatric Cardiology,ORG026
PRV0125,136,0.7720588235294118,PRV0125,Dr. VL,Pediatric Cardiology,ORG001
PRV0126,125,0.784,PRV0126,Dr. WO,Pediatrics,ORG018
PRV0127,135,0.7777777777777778,PRV0127,Dr. XR,Pediatrics,ORG022
PRV0128,129,0.7984496124031008,PRV0128,Dr. YU,Pediatrics,ORG029
PRV0129,128,0.6796875,PRV0129,Dr. ZX,Emergency Medicine,ORG004
PRV0130,119,0.7563025210084033,PRV0130,Dr. AA,Family Medicine,ORG024
PRV0131,145,0.7724137931034483,PRV0131,Dr. BD,Pediatrics,ORG009
PRV0132,146,0.7876712328767124,PRV0132,Dr. CG,Pediatric Cardiology,ORG007
PRV0133,124,0.7419354838709677,PRV0133,Dr. DJ,Pediatric Cardiology,ORG007
PRV0134,134,0.6716417910447762,PRV0134,Dr. EM,Pediatrics,ORG028
PRV0135,132,0.7424242424242424,PRV0135,Dr. FP,Pediatrics,ORG016
PRV0136,141,0.7092198581560284,PRV0136,Dr. GS,Emergency Medicine,ORG030
PRV0137,141,0.8085106382978723,PRV0137,Dr. HV,Pediatric Cardiology,ORG003
PRV0138,137,0.7664233576642335,PRV0138,Dr. IY,Pediatrics,ORG027
PRV0139,137,0.7445255474452555,PRV0139,Dr. JB,Family Medicine,ORG001
PRV0140,130,0.7230769230769231,PRV0140,Dr. KE,Pediatric Cardiology,ORG005
PRV0141,152,0.6907894736842105,PRV0141,Dr. LH,Pediatrics,ORG009
PRV0142,140,0.7642857142857142,PRV0142,Dr. MK,Family Medicine,ORG015
PRV0143,140,0.7642857142857142,PRV0143,Dr. NN,Family Medicine,ORG014
PRV0144,128,0.71875,PRV0144,Dr. OQ,Pediatrics,ORG004
PRV0145,136,0.7426470588235294,PRV0145,Dr. PT,Pediatric Cardiology,ORG029
PRV0146,140,0.75,PRV0146,Dr. QW,Family Medicine,ORG005
PRV0147,128,0.765625,PRV0147,Dr. RZ,Family Medicine,ORG027
PRV0148,122,0.7377049180327869,PRV0148,Dr. SC,Pediatrics,ORG018
PRV0149,146,0.7945205479452054,PRV0149,Dr. TF,Pediatrics,ORG005
PRV0150,137,0.781021897810219,PRV0150,Dr. UI,Emergency Medicine,ORG012
PRV0151,154,0.7142857142857143,PRV0151,Dr. VL,Pulmonology,ORG026
PRV0152,123,0.7317073170731707,PRV0152,Dr. WO,Emergency Medicine,ORG002
PRV0153,103,0.7087378640776699,PRV0153,Dr. XR,Pediatric Cardiology,ORG007
PRV0154,123,0.7886178861788617,PRV0154,Dr. YU,Pediatrics,ORG022
PRV0155,135,0.7777777777777778,PRV0155,Dr. ZX,Family Medicine,ORG025
PRV0156,123,0.7967479674796748,PRV0156,Dr. AA,Family Medicine,ORG028
PRV0157,140,0.7214285714285714,PRV0157,Dr. BD,Cardiology,ORG020
PRV0158,147,0.782312925170068,PRV0158,Dr. CG,Emergency Medicine,ORG030
PRV0159,132,0.696969696969697,PRV0159,Dr. DJ,Pediatrics,ORG028
PRV0160,118,0.8220338983050848,PRV0160,Dr. EM,Emergency Medicine,ORG026
PRV0161,110,0.7727272727272727,PRV0161,Dr. FP,Family Medicine,ORG029
PRV0162,139,0.7553956834532374,PRV0162,Dr. GS,Cardiology,ORG006
PRV0163,133,0.7969924812030075,PRV0163,Dr. HV,Cardiology,ORG011
PRV0164,129,0.7286821705426356,PRV0164,Dr. IY,Cardiology,ORG014
PRV0165,132,0.7348484848484849,PRV0165,Dr. JB,Cardiology,ORG028
PRV0166,150,0.7533333333333333,PRV0166,Dr. KE,Pediatrics,ORG008
PRV0167,132,0.8106060606060606,PRV0167,Dr. LH,Pediatric Cardiology,ORG026
PRV0168,124,0.7903225806451613,PRV0168,Dr. MK,Emergency Medicine,ORG013
PRV0169,150,0.7933333333333333,PRV0169,Dr. NN,Family Medicine,ORG028
PRV0170,132,0.7575757575757576,PRV0170,Dr. OQ,Emergency Medicine,ORG007
PRV0171,131,0.7099236641221374,PRV0171,Dr. PT,Family Medicine,ORG015
PRV0172,137,0.6788321167883211,PRV0172,Dr. QW,Cardiology,ORG027
PRV0173,136,0.7941176470588235,PRV0173,Dr. RZ,Pediatrics,ORG008
PRV0174,128,0.7578125,PRV0174,Dr. SC,Pediatrics,ORG022
PRV0175,116,0.7672413793103449,PRV0175,Dr. TF,Pediatrics,ORG011
PRV0176,125,0.848,PRV0176,Dr. UI,Pulmonology,ORG003
PRV0177,162,0.7839506172839507,PRV0177,Dr. VL,Family Medicine,ORG009
PRV0178,133,0.7142857142857143,PRV0178,Dr. WO,Family Medicine,ORG017
PRV0179,150,0.84,PRV0179,Dr. XR,Family Medicine,ORG027
PRV0180,141,0.723404255319149,PRV0180,Dr. YU,Pediatrics,ORG001
PRV0181,134,0.7611940298507462,PRV0181,Dr. ZX,Pediatrics,ORG009
PRV0182,152,0.7171052631578947,PRV0182,Dr. AA,Pediatrics,ORG009
PRV0183,128,0.7421875,PRV0183,Dr. BD,Family Medicine,ORG020
PRV0184,135,0.7481481481481481,PRV0184,Dr. CG,Cardiology,ORG024
PRV0185,148,0.7297297297297297,PRV0185,Dr. DJ,Pediatric Cardiology,ORG014
PRV0186,148,0.7905405405405406,PRV0186,Dr. EM,Pediatrics,ORG017
PRV0187,123,0.8211382113821138,PRV0187,Dr. FP,Family Medicine,ORG029
PRV0188,149,0.738255033557047,PRV0188,Dr. GS,Pediatrics,ORG009
PRV0189,143,0.6923076923076923,PRV0189,Dr. HV,Pediatrics,ORG014
PRV0190,125,0.744,PRV0190,Dr. IY,Cardiology,ORG030
PRV0191,154,0.7727272727272727,PRV0191,Dr. JB,Pediatric Cardiology,ORG022
PRV0192,127,0.7480314960629921,PRV0192,Dr. KE,Cardiology,ORG024
PRV0193,125,0.784,PRV0193,Dr. LH,Family Medicine,ORG007
PRV0194,141,0.7163120567375887,PRV0194,Dr. MK,Pulmonology,ORG003
PRV0195,135,0.7925925925925926,PRV0195,Dr. NN,Family Medicine,ORG030
PRV0196,122,0.7622950819672131,PRV0196,Dr. OQ,Pediatric Cardiology,ORG011
PRV0197,126,0.7222222222222222,PRV0197,Dr. PT,Pediatric Cardiology,ORG004
PRV0198,107,0.7757009345794392,PRV0198,Dr. QW,Family Medicine,ORG010
PRV0199,134,0.7313432835820896,PRV0199,Dr. RZ,Family Medicine,ORG022
PRV0200,147,0.8027210884353742,PRV0200,Dr. SC,Pediatric Cardiology,ORG013
