symptom_index_month,cohort_n,diagnosed_n,mean_delay_score,median_delay_score,diagnosis_rate,interpretation_note
2021-10,42,14,870.4107142857143,777.875,0.3333333333333333,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-11,32,6,547.5625,569.0,0.1875,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-12,35,5,593.1642857142857,434.0,0.14285714285714285,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-01,50,11,669.245,565.5,0.22,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-02,26,10,761.5480769230769,701.25,0.38461538461538464,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-03,41,14,747.6158536585366,544.5,0.34146341463414637,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-04,46,13,863.2010869565217,769.875,0.2826086956521739,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-05,36,11,670.3472222222222,661.0,0.3055555555555556,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-06,46,11,653.4130434782609,491.625,0.2391304347826087,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-07,40,6,564.55,448.0,0.15,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-08,31,6,529.5725806451613,258.0,0.1935483870967742,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-09,42,16,642.4761904761905,464.875,0.38095238095238093,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-10,42,16,587.8452380952381,540.0,0.38095238095238093,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-11,41,7,440.140243902439,472.0,0.17073170731707318,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-12,41,8,492.2073170731707,383.75,0.1951219512195122,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-01,38,7,552.3092105263158,546.375,0.18421052631578946,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-02,31,7,565.2822580645161,448.0,0.22580645161290322,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-03,42,9,435.0297619047619,319.75,0.21428571428571427,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-04,41,13,550.4329268292682,508.25,0.3170731707317073,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-05,32,2,438.5703125,320.5,0.0625,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-06,48,7,495.0364583333333,469.625,0.14583333333333334,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-07,40,8,475.4375,455.25,0.2,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-08,43,11,580.5348837209302,478.0,0.2558139534883721,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-09,54,10,427.2916666666667,379.5,0.18518518518518517,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-10,42,7,416.375,365.125,0.16666666666666666,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-11,22,3,446.07954545454544,361.5,0.13636363636363635,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-12,39,8,405.9230769230769,401.0,0.20512820512820512,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-01,52,11,306.19711538461536,217.0,0.21153846153846154,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-02,50,6,300.27,184.25,0.12,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-03,61,11,289.51229508196724,250.0,0.18032786885245902,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-04,44,12,318.25,305.5,0.2727272727272727,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-05,49,8,400.63775510204084,287.0,0.16326530612244897,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-06,39,4,286.3205128205128,247.0,0.10256410256410256,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-07,38,6,198.52631578947367,119.0,0.15789473684210525,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-08,45,9,229.41666666666666,210.0,0.2,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-09,42,10,252.05357142857142,124.5,0.23809523809523808,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-10,49,10,159.6887755102041,98.0,0.20408163265306123,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-11,56,19,189.75446428571428,196.0,0.3392857142857143,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-12,42,4,203.48809523809524,46.0,0.09523809523809523,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2025-01,62,15,125.16532258064517,106.5,0.24193548387096775,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2025-02,47,4,114.54255319148936,75.0,0.0851063829787234,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2025-03,54,6,114.00462962962963,55.5,0.1111111111111111,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2025-04,48,11,144.96354166666666,89.0,0.22916666666666666,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2025-05,55,13,103.68181818181819,95.25,0.23636363636363636,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
