month_of_first_symptom,patients_in_monthly_cohort,patients_with_diagnosis,diagnosis_rate,average_delay_score,median_delay_score,note
2017-09,38,7,0.1842105263157894,1322.2368421052631,896.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-10,41,13,0.3170731707317073,1808.2378048780488,1925.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-11,40,6,0.15,1445.94375,1514.75,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-12,47,5,0.1063829787234042,1202.468085106383,1162.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-01,43,12,0.2790697674418604,1749.0697674418604,1536.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-02,44,10,0.2272727272727272,1481.034090909091,1557.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-03,32,4,0.125,1294.1328125,1084.125,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-04,46,11,0.2391304347826087,1296.0489130434785,1064.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-05,50,7,0.14,1375.43,1247.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-06,43,10,0.2325581395348837,1385.0348837209303,1065.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-07,32,6,0.1875,1420.7734375,983.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-08,32,8,0.25,1292.21875,1051.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-09,31,10,0.3225806451612903,1465.8387096774193,1049.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-10,37,6,0.1621621621621621,1131.2635135135135,1228.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-11,48,11,0.2291666666666666,1588.859375,1435.625,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-12,41,8,0.1951219512195122,1132.0,980.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-01,39,8,0.2051282051282051,1145.6602564102564,869.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-02,39,10,0.2564102564102564,1228.5384615384614,1101.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-03,38,6,0.1578947368421052,971.1776315789474,926.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-04,37,6,0.1621621621621621,1134.472972972973,870.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-05,32,7,0.21875,1148.8515625,814.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-06,31,4,0.1290322580645161,1275.3145161290322,1478.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-07,41,7,0.1707317073170731,1078.3841463414635,999.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-08,39,9,0.2307692307692307,1313.7884615384614,1291.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-09,37,11,0.2972972972972973,1197.195945945946,1013.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-10,50,10,0.2,1493.39,1350.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-11,40,5,0.125,1003.2,1004.375,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-12,44,11,0.25,1165.971590909091,1165.375,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-01,49,9,0.1836734693877551,996.5102040816328,930.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-02,31,3,0.0967741935483871,1325.25,1424.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-03,40,11,0.275,1390.9375,1422.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-04,43,7,0.1627906976744186,806.8837209302326,466.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-05,42,12,0.2857142857142857,916.4285714285714,833.75,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-06,35,9,0.2571428571428571,1003.1785714285714,1189.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-07,52,12,0.2307692307692307,948.3846153846154,1082.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-08,39,9,0.2307692307692307,935.0961538461538,764.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-09,39,8,0.2051282051282051,881.8846153846154,804.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-10,36,7,0.1944444444444444,814.8888888888889,591.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-11,36,11,0.3055555555555556,745.5069444444445,387.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-12,40,8,0.2,1058.54375,943.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-01,40,10,0.25,908.24375,589.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-02,34,9,0.2647058823529412,922.3602941176472,893.75,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-03,43,10,0.2325581395348837,491.04651162790697,406.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-04,33,6,0.1818181818181818,891.219696969697,848.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-05,26,7,0.2692307692307692,1192.076923076923,942.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-06,34,11,0.3235294117647059,616.7132352941177,456.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-07,45,9,0.2,745.1222222222223,831.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-08,44,8,0.1818181818181818,911.4261363636364,911.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-09,46,7,0.1521739130434782,667.179347826087,539.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-10,42,14,0.3333333333333333,870.4107142857143,777.875,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-11,32,6,0.1875,547.5625,569.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-12,35,5,0.1428571428571428,593.1642857142857,434.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-01,50,11,0.22,669.245,565.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-02,26,10,0.3846153846153846,761.5480769230769,701.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-03,41,14,0.3414634146341463,747.6158536585366,544.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-04,46,13,0.2826086956521739,863.2010869565217,769.875,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-05,36,11,0.3055555555555556,670.3472222222222,661.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-06,46,11,0.2391304347826087,653.4130434782609,491.625,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-07,40,6,0.15,564.55,448.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-08,31,6,0.1935483870967742,529.5725806451613,258.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-09,42,16,0.3809523809523809,642.4761904761905,464.875,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-10,42,16,0.3809523809523809,587.8452380952381,540.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-11,41,7,0.1707317073170731,440.140243902439,472.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2022-12,41,8,0.1951219512195122,492.2073170731707,383.75,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-01,38,7,0.1842105263157894,552.3092105263158,546.375,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-02,31,7,0.2258064516129032,565.2822580645161,448.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-03,42,9,0.2142857142857142,435.0297619047619,319.75,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-04,41,13,0.3170731707317073,550.4329268292682,508.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-05,32,2,0.0625,438.5703125,320.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-06,48,7,0.1458333333333333,495.0364583333333,469.625,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-07,40,8,0.2,475.4375,455.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-08,43,11,0.2558139534883721,580.5348837209302,478.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-09,54,10,0.1851851851851851,427.2916666666667,379.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-10,42,7,0.1666666666666666,416.375,365.125,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-11,22,3,0.1363636363636363,446.07954545454544,361.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2023-12,39,8,0.2051282051282051,405.9230769230769,401.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-01,52,11,0.2115384615384615,306.19711538461536,217.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-02,50,6,0.12,300.27,184.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-03,61,11,0.180327868852459,289.51229508196724,250.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-04,44,12,0.2727272727272727,318.25,305.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-05,49,8,0.1632653061224489,400.6377551020408,287.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-06,39,4,0.1025641025641025,286.3205128205128,247.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-07,38,6,0.1578947368421052,198.52631578947367,119.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-08,45,9,0.2,229.41666666666663,210.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-09,42,10,0.238095238095238,252.05357142857144,124.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-10,49,10,0.2040816326530612,159.6887755102041,98.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-11,56,19,0.3392857142857143,189.75446428571428,196.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2024-12,42,4,0.0952380952380952,203.48809523809524,46.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2025-01,62,15,0.2419354838709677,125.16532258064515,106.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2025-02,47,4,0.0851063829787234,114.54255319148936,75.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2025-03,54,6,0.1111111111111111,114.00462962962963,55.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2025-04,48,11,0.2291666666666666,144.96354166666666,89.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2025-05,55,13,0.2363636363636363,103.6818181818182,95.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
